Name,Mean (ps),2*Stdev (ps)
All.insert (powers of two).MapBU.0,4468,310
All.insert (powers of two).MapUL.0,3985,272
All.insert (powers of two).MapUB.0,3910,316
All.insert (powers of two).MapUU.0,3788,222
All.insert (powers of two).HashMapLazy.1,18157,744
All.insert (powers of two).HashMapStrict.1,18384,1624
All.insert (powers of two).MapBL.1,36228,2968
All.insert (powers of two).MapBB.1,36113,2950
All.insert (powers of two).MapBU.1,38554,3716
All.insert (powers of two).MapUL.1,35576,2922
All.insert (powers of two).MapUB.1,35179,2982
All.insert (powers of two).MapUU.1,34812,2548
All.insert (powers of two).HashMapLazy.2,26758,1498
All.insert (powers of two).HashMapStrict.2,26745,1818
All.insert (powers of two).MapBL.2,35280,2778
All.insert (powers of two).MapBB.2,35265,2134
All.insert (powers of two).MapBU.2,33557,3114
All.insert (powers of two).MapUL.2,33751,2476
All.insert (powers of two).MapUB.2,33175,2556
All.insert (powers of two).MapUU.2,30089,2714
All.insert (powers of two).HashMapLazy.4,37428,1856
All.insert (powers of two).HashMapStrict.4,37453,3188
All.insert (powers of two).MapBL.4,36639,1856
All.insert (powers of two).MapBB.4,36520,3452
All.insert (powers of two).MapBU.4,33319,1860
All.insert (powers of two).MapUL.4,34160,3338
All.insert (powers of two).MapUB.4,32583,2850
All.insert (powers of two).MapUU.4,30623,1330
All.insert (powers of two).HashMapLazy.8,49313,2174
All.insert (powers of two).HashMapStrict.8,49233,2432
All.insert (powers of two).MapBL.8,42398,1856
All.insert (powers of two).MapBB.8,41979,3242
All.insert (powers of two).MapBU.8,36742,3528
All.insert (powers of two).MapUL.8,38508,3492
All.insert (powers of two).MapUB.8,36855,2822
All.insert (powers of two).MapUU.8,29998,1520
All.insert (powers of two).HashMapLazy.16,69711,4810
All.insert (powers of two).HashMapStrict.16,70202,4766
All.insert (powers of two).MapBL.16,52395,3214
All.insert (powers of two).MapBB.16,51726,2334
All.insert (powers of two).MapBU.16,49212,4314
All.insert (powers of two).MapUL.16,48330,1862
All.insert (powers of two).MapUB.16,41972,3248
All.insert (powers of two).MapUU.16,33774,794
All.insert (powers of two).HashMapLazy.32,120129,9744
All.insert (powers of two).HashMapStrict.32,120769,10730
All.insert (powers of two).MapBL.32,92662,6506
All.insert (powers of two).MapBB.32,83702,6542
All.insert (powers of two).MapBU.32,69474,3924
All.insert (powers of two).MapUL.32,87222,4952
All.insert (powers of two).MapUB.32,67698,3384
All.insert (powers of two).MapUU.32,68119,6280
All.insert (powers of two).HashMapLazy.64,363900,26486
All.insert (powers of two).HashMapStrict.64,365966,17254
All.insert (powers of two).MapBL.64,143617,11940
