Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapBU.32,121133,4758,959,1,51380224
All.insert (small).HashMapUL.32,136648,8604,959,1,51380224
All.insert (small).HashMapUB.32,117169,4884,959,1,51380224
All.insert (small).HashMapUU.32,104808,3528,919,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.0,14793,700,64,0,51380224
All.insert (powers of two).Data_HashMap_Strict.0,14562,588,63,0,51380224
All.insert (powers of two).HashMapBL.0,17551,1668,80,0,51380224
All.insert (powers of two).HashMapBB.0,16243,868,79,0,51380224
All.insert (powers of two).HashMapBU.0,16333,1436,79,0,51380224
All.insert (powers of two).HashMapUL.0,18301,1448,80,0,51380224
All.insert (powers of two).HashMapUB.0,17879,1598,80,0,51380224
All.insert (powers of two).HashMapUU.0,17584,1292,79,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.1,29045,2742,120,0,51380224
All.insert (powers of two).Data_HashMap_Strict.1,25279,326,119,0,51380224
All.insert (powers of two).HashMapBL.1,83308,3224,447,0,51380224
All.insert (powers of two).HashMapBB.1,81246,6324,424,0,51380224
All.insert (powers of two).HashMapBU.1,65856,3188,423,0,51380224
All.insert (powers of two).HashMapUL.1,74392,3024,447,0,51380224
All.insert (powers of two).HashMapUB.1,63549,1780,423,0,51380224
All.insert (powers of two).HashMapUU.1,59454,2886,383,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.2,36322,3630,128,0,51380224
All.insert (powers of two).Data_HashMap_Strict.2,36811,1090,128,0,51380224
All.insert (powers of two).HashMapBL.2,70364,1980,391,0,51380224
All.insert (powers of two).HashMapBB.2,72210,6590,392,0,51380224
All.insert (powers of two).HashMapBU.2,62641,686,391,0,51380224
All.insert (powers of two).HashMapUL.2,64637,3234,392,0,51380224
All.insert (powers of two).HashMapUB.2,62019,1404,391,0,51380224
All.insert (powers of two).HashMapUU.2,57962,1396,352,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.4,43431,3782,144,0,51380224
All.insert (powers of two).Data_HashMap_Strict.4,46623,2854,144,0,51380224
All.insert (powers of two).HashMapBL.4,75780,5858,424,0,51380224
All.insert (powers of two).HashMapBB.4,70648,4274,424,0,51380224
All.insert (powers of two).HashMapBU.4,63779,5066,423,0,51380224
All.insert (powers of two).HashMapUL.4,70975,5992,424,0,51380224
All.insert (powers of two).HashMapUB.4,66163,2762,423,0,51380224
All.insert (powers of two).HashMapUU.4,61656,3908,383,0,51380224
All.insert (powers of two).Data_HashMap_Lazy.8,75708,2824,176,0,51380224
All.insert (powers of two).Data_HashMap_Strict.8,63858,1108,176,0,51380224
All.insert (powers of two).HashMapBL.8,85121,2912,488,0,51380224
All.insert (powers of two).HashMapBB.8,74937,5694,488,0,51380224
All.insert (powers of two).HashMapBU.8,68680,4340,487,0,52428800
All.insert (powers of two).HashMapUL.8,82886,3978,488,0,52428800
All.insert (powers of two).HashMapUB.8,68372,6322,488,0,52428800
All.insert (powers of two).HashMapUU.8,59232,3632,447,0,52428800
