Name,Mean (ps),2*Stdev (ps),Allocated,Copied,Peak Memory
All.insert (small).HashMapBU.27,101006,31028,792,0,51380224
All.insert (small).HashMapUL.27,133108,37120,792,0,51380224
All.insert (small).HashMapUB.27,97150,48892,792,0,51380224
All.insert (small).HashMapUU.27,75722,16322,751,0,51380224
All.insert (small).Data_HashMap_Lazy.28,217797,65720,336,0,51380224
All.insert (small).Data_HashMap_Strict.28,224153,61016,336,0,51380224
All.insert (small).HashMapBL.28,158777,27294,807,0,51380224
All.insert (small).HashMapBB.28,134219,40562,807,0,51380224
All.insert (small).HashMapBU.28,107873,33938,807,0,51380224
All.insert (small).HashMapUL.28,137725,35110,807,0,51380224
All.insert (small).HashMapUB.28,99262,37988,807,0,51380224
All.insert (small).HashMapUU.28,78613,18192,767,0,51380224
All.insert (small).Data_HashMap_Lazy.29,222689,65032,344,0,51380224
All.insert (small).Data_HashMap_Strict.29,230786,64922,344,0,51380224
All.insert (small).HashMapBL.29,157199,36542,823,0,51380224
All.insert (small).HashMapBB.29,124281,44236,823,0,51380224
All.insert (small).HashMapBU.29,103977,30942,823,0,51380224
All.insert (small).HashMapUL.29,133894,39354,823,0,51380224
All.insert (small).HashMapUB.29,101692,37876,823,0,51380224
All.insert (small).HashMapUU.29,82714,22456,783,0,51380224
All.insert (small).Data_HashMap_Lazy.30,234467,62496,352,0,51380224
All.insert (small).Data_HashMap_Strict.30,234973,74064,352,0,51380224
All.insert (small).HashMapBL.30,168276,44318,839,0,51380224
All.insert (small).HashMapBB.30,126694,28970,839,0,51380224
All.insert (small).HashMapBU.30,107504,32608,839,0,51380224
All.insert (small).HashMapUL.30,144980,30076,839,0,51380224
All.insert (small).HashMapUB.30,106118,35382,839,0,51380224
All.insert (small).HashMapUU.30,81358,13704,799,0,51380224
All.insert (small).Data_HashMap_Lazy.31,230447,63952,352,0,51380224
All.insert (small).Data_HashMap_Strict.31,233021,71380,352,0,51380224
All.insert (small).HashMapBL.31,170964,26676,855,0,51380224
All.insert (small).HashMapBB.31,128046,33272,855,0,51380224
All.insert (small).HashMapBU.31,107009,30210,855,0,51380224
All.insert (small).HashMapUL.31,152442,27812,855,0,51380224
All.insert (small).HashMapUB.31,99235,41156,855,0,51380224
All.insert (small).HashMapUU.31,76706,17154,815,0,51380224
All.insert (small).Data_HashMap_Lazy.32,240667,56502,408,0,51380224
All.insert (small).Data_HashMap_Strict.32,236220,64680,408,0,51380224
All.insert (small).HashMapBL.32,196472,60300,960,1,51380224
All.insert (small).HashMapBB.32,153582,35554,959,1,51380224
All.insert (small).HashMapBU.32,128505,38546,959,1,51380224
